"year" "australian_open" "french_open" "wimbledon" "us_open"
"59" 1942 "World War II" "Alice Weiwers †" "World War II" "Pauline Betz (1/5)"
"60" 1943 "World War II" "Simone Iribarne Lafargue †" "World War II" "Pauline Betz  (2/5)"
"61" 1944 "World War II" "Raymonde Veber Jones †" "World War II" "Pauline Betz (3/5)"
"62" 1945 "World War II" "Lolette Payot †" "World War II" "Sarah Palfrey Cooke (2/2)"
"63" 1946 "Nancye Wynne Bolton (3/6)" "Margaret Osborne (1/6)" "Pauline Betz (4/5)" "Pauline Betz (5/5)"
"64" 1947 "Nancye Wynne Bolton (4/6)" "Patricia Canning Todd" "Margaret Osborne (2/6)" "Louise Brough (1/6)"
"65" 1948 "Nancye Wynne Bolton (5/6)" "Nelly Landry" "Louise Brough (2/6)" "Margaret Osborne (3/6)"
"66" 1949 "Doris Hart (1/6)" "Margaret Osborne (4/6)" "Louise Brough (3/6)" "Margaret Osborne (5/6)"
"67" 1950 "Louise Brough (4/6)" "Doris Hart (2/6)" "Louise Brough (5/6)" "Margaret Osborne (6/6)"
"68" 1951 "Nancye Wynne Bolton (6/6)" "Shirley Fry (1/4)" "Doris Hart (3/6)" "Maureen Connolly (1/9)"
"69" 1952 "Thelma Coyne Long (1/2)" "Doris Hart (4/6)" "Maureen Connolly (2/9)" "Maureen Connolly (3/9)"
"70" 1953 "Maureen Connolly (4/9)" "Maureen Connolly (5/9)" "Maureen Connolly (6/9)" "Maureen Connolly (7/9)"
"71" 1954 "Thelma Coyne Long (2/2)" "Maureen Connolly (8/9)" "Maureen Connolly (9/9)" "Doris Hart (5/6)"
"72" 1955 "Beryl Penrose" "Angela Mortimer (1/3)" "Louise Brough (6/6)" "Doris Hart (6/6)"
"73" 1956 "Mary Carter Reitano (1/2)" "Althea Gibson (1/5)" "Shirley Fry (2/4)" "Shirley Fry (3/4)"
"74" 1957 "Shirley Fry (4/4)" "Shirley Bloomer" "Althea Gibson (2/5)" "Althea Gibson (3/5)"
"75" 1958 "Angela Mortimer (2/3)" "Zsuzsa Körmöczy" "Althea Gibson (4/5)" "Althea Gibson (5/5)"
"76" 1959 "Mary Carter Reitano (2/2)" "Christine Truman" "Maria Bueno (1/7)" "Maria Bueno (2/7)"
"77" 1960 "Margaret Court (1/24)" "Darlene Hard (1/3)" "Maria Bueno (3/7)" "Darlene Hard (2/3)"
"78" 1961 "Margaret Court (2/24)" "Ann Haydon-Jones (1/3)" "Angela Mortimer (3/3)" "Darlene Hard (3/3)"
"79" 1962 "Margaret Court (3/24)" "Margaret Court (4/24)" "Karen Hantze Susman" "Margaret Court (5/24)"
"80" 1963 "Margaret Court (6/24)" "Lesley Turner (1/2)" "Margaret Court (7/24)" "Maria Bueno (4/7)"
"81" 1964 "Margaret Court (8/24)" "Margaret Court (9/24)" "Maria Bueno (5/7)" "Maria Bueno (6/7)"
"82" 1965 "Margaret Court (10/24)" "Lesley Turner (2/2)" "Margaret Court (11/24)" "Margaret Court (12/24)"
"83" 1966 "Margaret Court (13/24)" "Ann Haydon-Jones (2/3)" "Billie Jean King (1/12)" "Maria Bueno (7/7)"
"84" 1967 "Nancy Richey (1/2)" "Françoise Dürr" "Billie Jean King (2/12)" "Billie Jean King (3/12)"
"85" 1968 "Billie Jean King (4/12) Amateur era tennis ends" "Open era tennis begins  Nancy Richey (2/2)" "Billie Jean King (5/12)" "Virginia Wade (1/3)"
"86" 1969 "Margaret Court (14/24)" "Margaret Court (15/24)" "Ann Haydon-Jones (3/3)" "Margaret Court (16/24)"
"87" 1970 "Margaret Court (17/24)" "Margaret Court (18/24)" "Margaret Court (19/24)" "Margaret Court (20/24)"
"88" 1971 "Margaret Court (21/24)" "Evonne Goolagong (1/7)" "Evonne Goolagong (2/7)" "Billie Jean King (6/12)"
"89" 1972 "Virginia Wade (2/3)" "Billie Jean King (7/12)" "Billie Jean King (8/12)" "Billie Jean King (9/12)"
"90" 1973 "Margaret Court (22/24)" "Margaret Court (23/24)" "Billie Jean King (10/12)" "Margaret Court (24/24)"
"91" 1974 "Evonne Goolagong (3/7)" "Chris Evert (1/18)" "Chris Evert (2/18)" "Billie Jean King (11/12)"
"92" 1975 "Evonne Goolagong (4/7)" "Chris Evert (3/18)" "Billie Jean King (12/12)" "Chris Evert (4/18)"
"93" 1976 "Evonne Goolagong (5/7)" "Sue Barker" "Chris Evert (5/18)" "Chris Evert (6/18)"
"94" 1977 "Kerry Melville Reid (Jan)" "Mima Jaušovec" "Virginia Wade (3/3)" "Chris Evert (7/18)"
"95" 1977 "Evonne Goolagong (6/7) (Dec)" "Mima Jaušovec" "Virginia Wade (3/3)" "Chris Evert (7/18)"
"96" 1978 "Chris O'Neil ‡" "Virginia Ruzici" "Martina Navratilova (1/18)" "Chris Evert (8/18)"
"97" 1979 "Barbara Jordan ‡" "Chris Evert (9/18)" "Martina Navratilova (2/18)" "Tracy Austin (1/2)"
"98" 1980 "Hana Mandlíková (1/4) ‡" "Chris Evert (10/18)" "Evonne Goolagong (7/7)" "Chris Evert (11/18)"
"99" 1981 "Martina Navratilova (3/18) ‡" "Hana Mandlíková (2/4)" "Chris Evert (12/18)" "Tracy Austin (2/2)"
"100" 1982 "Chris Evert (14/18) ‡" "Martina Navratilova (4/18)" "Martina Navratilova (5/18)" "Chris Evert (13/18)"
"101" 1983 "Martina Navratilova (8/18) ‡" "Chris Evert (15/18)" "Martina Navratilova (6/18)" "Martina Navratilova (7/18)"
"102" 1984 "Chris Evert (16/18) ‡" "Martina Navratilova (9/18)" "Martina Navratilova (10/18)" "Martina Navratilova (11/18)"
"103" 1985 "Martina Navratilova (13/18) ‡" "Chris Evert (17/18)" "Martina Navratilova (12/18)" "Hana Mandlíková (3/4)"
"104" 1986 "Tournament date changed" "Chris Evert (18/18)" "Martina Navratilova (14/18)" "Martina Navratilova (15/18)"
"105" 1987 "Hana Mandlíková (4/4)" "Steffi Graf (1/22)" "Martina Navratilova (16/18)" "Martina Navratilova (17/18)"
"106" 1988 "Steffi Graf (2/22)" "Steffi Graf (3/22)" "Steffi Graf (4/22)" "Steffi Graf (5/22)"
"107" 1989 "Steffi Graf (6/22)" "Arantxa Sánchez Vicario (1/4)" "Steffi Graf (7/22)" "Steffi Graf (8/22)"
"108" 1990 "Steffi Graf (9/22)" "Monica Seles (1/9)" "Martina Navratilova (18/18)" "Gabriela Sabatini"
"109" 1991 "Monica Seles (2/9)" "Monica Seles (3/9)" "Steffi Graf (10/22)" "Monica Seles (4/9)"
"110" 1992 "Monica Seles (5/9)" "Monica Seles (6/9)" "Steffi Graf (11/22)" "Monica Seles (7/9)"
"111" 1993 "Monica Seles (8/9)" "Steffi Graf (12/22)" "Steffi Graf (13/22)" "Steffi Graf (14/22)"
"112" 1994 "Steffi Graf (15/22)" "Arantxa Sánchez Vicario (2/4)" "Conchita Martínez" "Arantxa Sánchez Vicario (3/4)"
"113" 1995 "Mary Pierce (1/2)" "Steffi Graf (16/22)" "Steffi Graf (17/22)" "Steffi Graf (18/22)"
"114" 1996 "Monica Seles (9/9)" "Steffi Graf (19/22)" "Steffi Graf (20/22)" "Steffi Graf (21/22)"
"115" 1997 "Martina Hingis (1/5)" "Iva Majoli" "Martina Hingis (2/5)" "Martina Hingis (3/5)"
"116" 1998 "Martina Hingis (4/5)" "Arantxa Sánchez Vicario (4/4)" "Jana Novotná" "Lindsay Davenport (1/3)"
"117" 1999 "Martina Hingis (5/5)" "Steffi Graf (22/22)" "Lindsay Davenport (2/3)" "Serena Williams (1/23)"
"118" 2000 "Lindsay Davenport (3/3)" "Mary Pierce (2/2)" "Venus Williams (1/7)" "Venus Williams (2/7)"
"119" 2001 "Jennifer Capriati (1/3)" "Jennifer Capriati (2/3)" "Venus Williams (3/7)" "Venus Williams (4/7)"
"120" 2002 "Jennifer Capriati (3/3)" "Serena Williams (2/23)" "Serena Williams (3/23)" "Serena Williams (4/23)"
"121" 2003 "Serena Williams (5/23)" "Justine Henin (1/7)" "Serena Williams (6/23)" "Justine Henin (2/7)"
"122" 2004 "Justine Henin (3/7)" "Anastasia Myskina" "Maria Sharapova (1/5)" "Svetlana Kuznetsova (1/2)"
"123" 2005 "Serena Williams (7/23)" "Justine Henin (4/7)" "Venus Williams (5/7)" "Kim Clijsters (1/4)"
"124" 2006 "Amélie Mauresmo (1/2)" "Justine Henin (5/7)" "Amélie Mauresmo (2/2)" "Maria Sharapova (2/5)"
"125" 2007 "Serena Williams (8/23)" "Justine Henin (6/7)" "Venus Williams (6/7)" "Justine Henin (7/7)"
"126" 2008 "Maria Sharapova (3/5)" "Ana Ivanovic" "Venus Williams (7/7)" "Serena Williams (9/23)"
"127" 2009 "Serena Williams (10/23)" "Svetlana Kuznetsova (2/2)" "Serena Williams (11/23)" "Kim Clijsters (2/4)"
"128" 2010 "Serena Williams (12/23)" "Francesca Schiavone" "Serena Williams (13/23)" "Kim Clijsters (3/4)"
"129" 2011 "Kim Clijsters (4/4)" "Li Na (1/2)" "Petra Kvitová (1/2)" "Samantha Stosur"
"130" 2012 "Victoria Azarenka  (1/2)" "Maria Sharapova (4/5)" "Serena Williams (14/23)" "Serena Williams (15/23)"
"131" 2013 "Victoria Azarenka (2/2)" "Serena Williams (16/23)" "Marion Bartoli" "Serena Williams (17/23)"
"132" 2014 "Li Na (2/2)" "Maria Sharapova (5/5)" "Petra Kvitová (2/2)" "Serena Williams (18/23)"
"133" 2015 "Serena Williams (19/23)" "Serena Williams (20/23)" "Serena Williams (21/23)" "Flavia Pennetta"
"134" 2016 "Angelique Kerber (1/3)" "Garbiñe Muguruza (1/2)" "Serena Williams (22/23)" "Angelique Kerber (2/3)"
"135" 2017 "Serena Williams (23/23)" "Jeļena Ostapenko" "Garbiñe Muguruza (2/2)" "Sloane Stephens"
"136" 2018 "Caroline Wozniacki" "Simona Halep" "Angelique Kerber (3/3)" "Naomi Osaka (1/2)"
"137" 2019 "Naomi Osaka (2/2)" "" "" ""
